policy,seed,eats,eat_rate_pct,danger_steps
RANDOM_WALK,1,45,0.5625,138
RANDOM_WALK,2,36,0.45,127
RANDOM_WALK,3,47,0.5875,223
RANDOM_WALK,4,38,0.475,195
RANDOM_WALK,5,30,0.375,252
RANDOM_WALK,6,45,0.5625,431
RANDOM_WALK,7,42,0.525,242
RANDOM_WALK,8,31,0.3875,271
RANDOM_WALK,9,41,0.5125,251
RANDOM_WALK,10,54,0.675,286
RANDOM_WALK,11,28,0.35,242
RANDOM_WALK,12,40,0.5,190
RANDOM_WALK,13,29,0.3625,239
RANDOM_WALK,14,27,0.3375,292
RANDOM_WALK,15,47,0.5875,296
RANDOM_WALK,16,38,0.475,143
RANDOM_WALK,17,47,0.5875,253
RANDOM_WALK,18,40,0.5,192
RANDOM_WALK,19,39,0.4875,127
RANDOM_WALK,20,34,0.425,231
RANDOM_WALK,21,45,0.5625,197
RANDOM_WALK,22,25,0.3125,260
RANDOM_WALK,23,34,0.425,275
RANDOM_WALK,24,39,0.4875,284
RANDOM_WALK,25,39,0.4875,139
RANDOM_WALK,26,55,0.6875,182
RANDOM_WALK,27,31,0.3875,274
RANDOM_WALK,28,43,0.5375,262
RANDOM_WALK,29,40,0.5,236
RANDOM_WALK,30,59,0.7375,218
GREEDY_ORACLE,1,1617,20.2125,147
GREEDY_ORACLE,2,1596,19.95,135
GREEDY_ORACLE,3,1593,19.9125,159
GREEDY_ORACLE,4,1597,19.9625,138
GREEDY_ORACLE,5,1578,19.725,141
GREEDY_ORACLE,6,1617,20.2125,160
GREEDY_ORACLE,7,1628,20.35,135
GREEDY_ORACLE,8,1650,20.625,206
GREEDY_ORACLE,9,1669,20.8625,142
GREEDY_ORACLE,10,1616,20.2,150
GREEDY_ORACLE,11,1626,20.325,164
GREEDY_ORACLE,12,1600,20.0,148
GREEDY_ORACLE,13,1569,19.6125,160
GREEDY_ORACLE,14,1594,19.925,144
GREEDY_ORACLE,15,1606,20.075,141
GREEDY_ORACLE,16,1589,19.8625,151
GREEDY_ORACLE,17,1626,20.325,172
GREEDY_ORACLE,18,1593,19.9125,152
GREEDY_ORACLE,19,1611,20.1375,138
GREEDY_ORACLE,20,1652,20.65,146
GREEDY_ORACLE,21,1591,19.8875,144
GREEDY_ORACLE,22,1605,20.0625,147
GREEDY_ORACLE,23,1634,20.425,156
GREEDY_ORACLE,24,1661,20.7625,125
GREEDY_ORACLE,25,1605,20.0625,193
GREEDY_ORACLE,26,1624,20.3,137
GREEDY_ORACLE,27,1577,19.7125,128
GREEDY_ORACLE,28,1598,19.975,131
GREEDY_ORACLE,29,1617,20.2125,148
GREEDY_ORACLE,30,1610,20.125,190
