seed,condition,train_total,test_steps,phase_eats,post_eats,post_eats_rate,post_danger,mb_w_final,elapsed
1,FULL_LESION_TEST,60000,8000,2852,56,0.007,13,0.16670067608356476,1585.0063729286194
2,FULL_LESION_TEST,60000,8000,2922,63,0.007875,8,0.167893186211586,1577.6445317268372
3,FULL_LESION_TEST,60000,8000,2872,57,0.007125,15,0.16553287208080292,1571.868703842163
4,FULL_LESION_TEST,60000,8000,2868,52,0.0065,9,0.1643235683441162,1576.3000960350037
5,FULL_LESION_TEST,60000,8000,2920,59,0.007375,6,0.16728132963180542,1566.9290220737457
6,FULL_LESION_TEST,60000,8000,2999,78,0.00975,10,0.17325593531131744,1583.363634109497
7,FULL_LESION_TEST,60000,8000,2930,72,0.009,15,0.16825427114963531,1576.3500804901123
8,FULL_LESION_TEST,60000,8000,2984,37,0.004625,36,0.1710420697927475,1575.2462267875671
1,NAIVE_LESION,0,8000,0,66,0.00825,323,0.04558854550123215,175.03903698921204
2,NAIVE_LESION,0,8000,0,54,0.00675,260,0.04533126577734947,176.11393404006958
3,NAIVE_LESION,0,8000,0,41,0.005125,368,0.045384835451841354,172.28376579284668
4,NAIVE_LESION,0,8000,0,69,0.008625,335,0.045414477586746216,173.75511145591736
5,NAIVE_LESION,0,8000,0,56,0.007,435,0.04526075720787048,173.2308542728424
6,NAIVE_LESION,0,8000,0,59,0.007375,313,0.04531152546405792,170.97864365577698
7,NAIVE_LESION,0,8000,0,38,0.00475,228,0.04530884698033333,168.97977375984192
8,NAIVE_LESION,0,8000,0,57,0.007125,269,0.045563578605651855,168.97217726707458
1,SCAFFOLDED_4PH,60000,8000,1974,57,0.007125,7,0.1192878782749176,1594.6522178649902
2,SCAFFOLDED_4PH,60000,8000,2003,55,0.006875,10,0.11914288252592087,1591.3461802005768
3,SCAFFOLDED_4PH,60000,8000,2029,50,0.00625,5,0.12029516696929932,1585.0436232089996
4,SCAFFOLDED_4PH,60000,8000,1941,26,0.00325,21,0.11415287107229233,1589.9395632743835
5,SCAFFOLDED_4PH,60000,8000,1911,54,0.00675,12,0.11382007598876953,1582.3067836761475
6,SCAFFOLDED_4PH,60000,8000,2023,37,0.004625,7,0.11954004317522049,1598.400295972824
7,SCAFFOLDED_4PH,60000,8000,2049,45,0.005625,2,0.12166128307580948,1588.5608069896698
8,SCAFFOLDED_4PH,60000,8000,2203,60,0.0075,13,0.13247302174568176,1604.3069424629211
