seed,condition,brain_version,train_total,test_steps,post_eats,post_eats_rate,post_danger,mb_w_final,elapsed
1,FULL_LESION_TEST,"V2+FlyEM(21728n,7p)",60000,8000,51,0.006375,4,1.1893731355667114,501.6688416004181
2,FULL_LESION_TEST,"V2+FlyEM(21728n,7p)",60000,8000,43,0.005375,11,1.1838231086730957,503.4587297439575
3,FULL_LESION_TEST,"V2+FlyEM(21728n,7p)",60000,8000,58,0.00725,12,1.1727737188339233,513.5774381160736
4,FULL_LESION_TEST,"V2+FlyEM(21728n,7p)",60000,8000,58,0.00725,15,1.1763286590576172,514.7938134670258
5,FULL_LESION_TEST,"V2+FlyEM(21728n,7p)",60000,8000,56,0.007,17,1.180161714553833,487.0203158855438
6,FULL_LESION_TEST,"V2+FlyEM(21728n,7p)",60000,8000,60,0.0075,8,1.1857486963272095,488.30181646347046
7,FULL_LESION_TEST,"V2+FlyEM(21728n,7p)",60000,8000,55,0.006875,4,1.189611792564392,560.3852696418762
8,FULL_LESION_TEST,"V2+FlyEM(21728n,7p)",60000,8000,50,0.00625,17,1.179763674736023,563.7837572097778
1,NAIVE_LESION,"V2+FlyEM(21728n,7p)",0,8000,71,0.008875,334,1.1180155277252197,57.864325284957886
2,NAIVE_LESION,"V2+FlyEM(21728n,7p)",0,8000,60,0.0075,263,1.1181327104568481,57.232162952423096
3,NAIVE_LESION,"V2+FlyEM(21728n,7p)",0,8000,43,0.005375,435,1.1262521743774414,59.44866371154785
4,NAIVE_LESION,"V2+FlyEM(21728n,7p)",0,8000,46,0.00575,161,1.1164257526397705,59.52614212036133
5,NAIVE_LESION,"V2+FlyEM(21728n,7p)",0,8000,56,0.007,408,1.1272006034851074,52.19913053512573
6,NAIVE_LESION,"V2+FlyEM(21728n,7p)",0,8000,58,0.00725,339,1.100775957107544,54.794031620025635
7,NAIVE_LESION,"V2+FlyEM(21728n,7p)",0,8000,39,0.004875,304,1.116385579109192,49.57584762573242
8,NAIVE_LESION,"V2+FlyEM(21728n,7p)",0,8000,56,0.007,244,1.0968724489212036,47.11860108375549
