condition,lesion,seed,steps,total_eats,eat_rate_pct,total_danger,danger_rate_pct,deaths,total_shelter,total_sleep_steps,awakenings,final_mirror,final_awareness_idx,final_continuity,final_presence,final_collapse_index,final_closure_depth,ms_per_step,elapsed_s
FULL,FULL,3,5000,226,4.52,40,0.8,0,28,1208,22,0.585715651920816,0.7142857142857143,0.999455451965332,0.9641672870958571,0.8894487158219921,3,7.731406211853027,38.65703105926514
FULL,FULL,12,5000,220,4.3999999999999995,35,0.7000000000000001,0,21,1208,21,0.5351970331299053,0.75,0.999917596578598,0.9640807763154253,0.8888424927532085,2,7.726837825775147,38.63418912887573
FULL,FULL,9,5000,231,4.62,43,0.86,0,19,1208,24,0.5637876486014751,0.7894736842105263,0.9994251728057861,0.9727522656552673,0.8954205690617132,3,7.766339492797852,38.83169746398926
FULL,FULL,2,5000,236,4.72,43,0.86,0,55,1208,25,0.6051320829382715,0.16666666666666666,0.9999250173568726,0.9634852160701988,0.9002830016919273,3,7.805219268798828,39.02609634399414
FULL,FULL,11,5000,234,4.68,39,0.7799999999999999,0,21,1208,20,0.5817792787619924,0.21428571428571427,0.9989771842956543,0.9360527204914117,0.8921062689559549,3,7.8015330791473385,39.007665395736694
FULL,FULL,8,5000,239,4.78,38,0.76,0,43,1208,35,0.5821876140772052,0.9230769230769231,0.9982655048370361,0.9629993107149559,0.8967025920448394,2,7.815322685241699,39.076613426208496
FULL,FULL,4,5000,224,4.4799999999999995,30,0.6,0,26,1208,30,0.566150991679257,0.76,0.9996099770069122,0.9636065743552945,0.8901020377799289,1,7.823415327072143,39.11707663536072
FULL,FULL,6,5000,233,4.66,36,0.72,0,9,1208,30,0.5917971530687345,0.78125,0.999785453081131,0.9643994875855276,0.8800496848695006,2,7.831629467010498,39.15814733505249
FULL,FULL,1,5000,238,4.760000000000001,31,0.62,0,6,1208,19,0.5342610556777974,0.896551724137931,0.9994132220745087,0.9635740044261026,0.895615648689795,2,7.88693528175354,39.4346764087677
FULL,FULL,7,5000,255,5.1,26,0.52,0,40,1208,23,0.5428644306771394,0.71875,0.9999392926692963,0.9633027113855674,0.8955563046388485,3,7.944567728042602,39.72283864021301
FULL,FULL,5,5000,254,5.08,53,1.06,0,19,1208,16,0.5586354975729833,0.8620689655172413,0.9999103546142578,0.9631324387422361,0.8931180218592096,2,7.977257204055786,39.88628602027893
FULL,FULL,10,5000,263,5.26,33,0.66,0,18,1208,20,0.5903527216873897,0.625,0.9989230036735535,0.9621930568774053,0.8964001577340117,2,7.982304239273072,39.911521196365356
