condition,lesion,seed,steps,total_eats,eat_rate_pct,total_danger,deaths,total_sleep_steps,awakenings,final_mirror,final_awareness_idx,final_continuity,final_collapse_index,final_closure_depth
WITH-SLEEP,FULL,2,8000,363,4.5375,52,0,1963,43,0.5893180660763951,0.8918918918918919,0.9984897971153259,0.8959518998799352,2
WITH-SLEEP,FULL,3,8000,371,4.6375,52,0,1963,38,0.5721338897395828,0.7857142857142857,0.9999829530715942,0.8886740117996139,3
WITH-SLEEP,FULL,9,8000,379,4.7375,59,0,1963,35,0.5649462454662153,0.7857142857142857,0.999439001083374,0.9124029815336421,1
WITH-SLEEP,FULL,8,8000,406,5.075,45,0,1963,55,0.6069173198769796,1.0,0.9999210238456726,0.9038772833038037,2
WITH-SLEEP,FULL,6,8000,385,4.8125,43,0,1963,49,0.5765200491618836,0.8823529411764706,0.9998758137226105,0.8992756806044151,3
WITH-SLEEP,FULL,4,8000,373,4.6625,39,0,1963,43,0.5625142153075959,0.8,0.9995386898517609,0.9027197043431229,3
WITH-SLEEP,FULL,1,8000,400,5.0,44,0,1963,38,0.6327192915059177,0.9024390243902439,0.9998362064361572,0.8944458919461036,3
WITH-SLEEP,FULL,10,8000,404,5.050000000000001,41,0,1963,38,0.5708088849503004,0.7222222222222222,0.9994324445724487,0.9057563728292543,2
WITH-SLEEP,FULL,11,8000,393,4.9125000000000005,48,0,1963,31,0.5671861624772497,0.75,0.9987296164035797,0.8749535452613407,3
WITH-SLEEP,FULL,12,8000,395,4.9375,52,0,1963,27,0.5449899301828229,0.9230769230769231,0.999301940202713,0.8844531867107192,3
WITH-SLEEP,FULL,5,8000,401,5.0125,67,0,1963,33,0.550788589325398,0.8444444444444444,0.9998030960559845,0.8987698769212196,3
WITH-SLEEP,FULL,7,8000,408,5.1,38,0,1963,39,0.5632445408615386,1.0,0.9998497664928436,0.8908584483290243,3
WITH-SLEEP,FULL,13,8000,363,4.5375,67,0,1963,48,0.5687700559057335,0.9166666666666666,0.9998776018619537,0.9077317888820096,3
WITH-SLEEP,FULL,19,8000,361,4.5125,55,0,1963,21,0.5300125081885128,0.65,0.9992868602275848,0.9046516807161817,3
WITH-SLEEP,FULL,14,8000,383,4.7875,40,0,1963,45,0.591453319180233,0.9090909090909091,0.9996764957904816,0.8975068998465162,3
