t,cum_eats,cum_danger,cum_awakenings,energy,mirror,awareness_idx,continuity,presence,collapse,closure_depth,self_pe,world_pe
200,10,0,0,0.9297955410957339,0.5,0.0,0.9986585974693298,0.574696056476502,0.45481817974849864,3,0.0778032444705302,1.0310639142990112
400,10,0,0,0.6710979116201407,0.528873673152779,1.0,0.9993616342544556,0.9690539489397464,0.42329697219420637,3,0.05345341227445386,0.19191372394561768
600,28,2,2,0.9648753109931946,0.5523908055450513,1.0,0.9995922744274139,0.9646660749158308,0.762980230926249,2,0.14125489757238588,0.6288212537765503
800,41,6,4,0.9452204842329027,0.5634188927973239,0.7142857142857143,0.9998852014541626,0.9632854208460293,0.8923357361074853,3,0.17949819974744266,0.6869404315948486
1000,42,7,5,0.8026415576934814,0.5730484479254111,0.7,0.9986865818500519,0.9797890254036936,0.6180233993048675,3,0.06434133155209726,0.4161269962787628
1200,58,9,5,0.9166266692638395,0.566962175661649,0.4166666666666667,0.9994333386421204,0.9649627028322427,0.8305529216380416,2,0.13638114274175972,0.8017218708992004
1400,73,16,6,0.9881897322416306,0.5757044976899156,0.8823529411764706,0.999943733215332,0.9624184204338286,0.9030065989566205,3,0.1276614269502075,0.8915078043937683
1600,76,16,7,0.8764951781511311,0.5966720728788325,0.90625,0.9995059669017792,0.9636298429467449,0.6298436166108362,3,0.048093726565326685,0.0712374672293663
1800,90,16,9,0.9570800239801407,0.5850567304768813,0.8888888888888888,0.9997234046459198,0.9634653236949239,0.821668142395608,3,0.10299282960121463,0.917938768863678
2000,99,16,10,0.9038324343919751,0.6117075752085481,0.6896551724137931,0.9998281598091125,0.9621952848462508,0.90041901388547,3,0.04748460427760267,1.0592947006225586
2200,100,16,12,0.8732462623596192,0.6092398254410523,0.6666666666666666,0.9983755350112915,0.964432703677587,0.571806832136115,3,0.07484493026433998,0.4328484535217285
2400,117,21,14,0.9548905535221098,0.5906140365320464,0.6956521739130435,0.9998305439949036,0.9645031924613596,0.8178315216654124,3,0.06755524125427473,1.0798637866973877
2600,137,23,14,1.0,0.6329681734113121,0.8888888888888888,0.9998071193695068,0.9685465874017535,0.9017137131460451,3,0.1183829685890607,0.9851899743080139
2800,139,23,16,0.770769735598564,0.6045866043355953,0.9354838709677419,0.9984380304813385,0.9739349492086522,0.5950335214454013,3,0.0622004113338899,0.8346676826477051
3000,148,31,19,0.995566417145729,0.5935949916983392,0.9354838709677419,0.9992212653160095,0.9681911357584658,0.811582334354073,3,0.06927863022088095,1.4270967245101929
3200,161,31,21,0.9985307531356812,0.5652840880300072,0.8846153846153846,0.9998453855514526,0.962075728518158,0.8979389350566219,2,0.15362034200113148,1.4549174308776855
3400,161,31,23,0.7062014923334121,0.56419141189219,0.5714285714285714,0.9987023770809174,0.9711030822404847,0.5630465317864279,3,0.07193748759905862,0.5492383241653442
3600,175,36,25,1.0,0.5714588123571561,0.75,0.9990057647228241,0.9636447081650253,0.808092104883393,2,0.09832960904243272,0.8113147616386414
3800,184,38,27,0.951526683664322,0.5733865384462178,0.9705882352941176,0.9996888637542725,0.971033877089613,0.8954668231262041,2,0.12587175902367434,0.9799140691757202
4000,185,38,27,0.9882452990293503,0.5687472409562166,0.8974358974358975,0.9997352063655853,0.9692881202258247,0.5697641155355666,3,0.19321682975840976,0.37094971537590027
4200,206,38,28,0.9955530284881592,0.5735665542825945,0.8709677419354839,0.999439150094986,0.9648010622091877,0.807095394757575,3,0.09937551706402391,0.7813199758529663
4400,219,38,30,0.9985268363237381,0.5831332635349621,0.7857142857142857,0.9996460974216461,0.9715456492262747,0.8989847947829628,2,0.19846134237944138,0.5318446755409241
4600,222,38,32,0.9441037379503252,0.5894962014992317,0.84,0.9997510313987732,0.9676659042934488,0.5805792295131965,3,0.07169085364388776,1.7374491691589355
4800,231,38,33,0.9955798005819321,0.5965494032569361,0.9302325581395349,0.9997788965702057,0.9676619652163267,0.8170242242088942,1,0.23748661163109655,1.1570513248443604
5000,239,38,35,0.9292261830806731,0.5821876140772052,0.9230769230769231,0.9982655048370361,0.9629993107149559,0.8967025920448394,2,0.08462525460570397,0.8790611624717712
5200,239,38,36,0.6470533552169796,0.585189950590857,0.9393939393939394,0.9989100396633148,0.9644997571622711,0.5436069756433134,3,0.08065536731565472,0.4008074998855591
5400,255,38,37,1.0,0.5728676762076781,0.8571428571428571,0.9996937811374664,0.9677889649083542,0.8052823468777358,2,0.18975308832020427,1.346258521080017
5600,270,45,38,0.9940968906164169,0.5812912791549276,0.6,0.9997849464416504,0.967864557942073,0.8944035494855231,3,0.16980244852418094,1.1572027206420898
5800,271,45,38,0.7107928153276436,0.5997672929707882,0.4166666666666667,0.9993068277835846,0.983020392203942,0.5597503740771754,3,0.07523675506743395,0.06225964054465294
6000,285,45,39,0.9719289617538451,0.6254223006374463,0.65,0.9995176494121552,0.9630271589051718,0.8049719298754116,2,0.1451270787220118,1.1351295709609985
6200,311,45,40,0.9822771432161331,0.6160569950785685,0.9583333333333334,0.9998771548271179,0.9659484072597837,0.8922234233522838,3,0.1313698411262196,0.9327924251556396
6400,313,45,42,0.9073574410438534,0.6085859098747002,0.9130434782608695,0.99945268034935,0.9726344833942362,0.6383769544534507,3,0.041745737563573776,0.1156194657087326
6600,323,45,44,0.9511583551406863,0.6144328825892191,0.8666666666666667,0.9995057284832001,0.9638286695381224,0.8130672129712877,3,0.05167415684399009,0.8212882876396179
6800,335,45,46,0.9823146761894227,0.6047440539983151,0.8823529411764706,0.9990541338920593,0.9652116154890362,0.8932304442079828,1,0.25725653706232965,1.1961936950683594
7000,335,45,46,0.6896613072633753,0.5807405948235799,0.8421052631578947,0.9990600943565369,0.9663478637969746,0.5492838816648566,3,0.07678425418967255,0.13553780317306519
7200,356,45,48,0.9674860993862152,0.5943281422444371,0.8888888888888888,0.9989096820354462,0.9645799895636256,0.7974491623962072,2,0.19951187933461126,0.833733320236206
7400,363,45,50,0.9630618991136551,0.5980911191492144,0.85,0.9993695020675659,0.9639794895956083,0.8887947797291335,2,0.17665551651209105,1.087074637413025
7600,364,45,52,0.9034423563003537,0.5764665104180209,0.9285714285714286,0.9995943903923035,0.9637285230261434,0.6036624813192312,3,0.06675780816486787,0.3099861443042755
7800,385,45,54,1.0,0.5919320110676926,0.96,0.9998924732208252,0.9635028152120217,0.8253952271799397,3,0.09666023662049793,1.0868780612945557
8000,406,45,55,1.0,0.6069173198769796,1.0,0.9999210238456726,0.9611742918626844,0.9038772833038037,2,0.16479191391661543,1.6196932792663574
8200,410,45,56,0.9720993483543394,0.5906859474615438,1.0,0.9982368648052216,0.9660217583051144,0.6988406426177317,2,0.1756939759145141,0.5280179977416992
8400,414,47,59,0.9970542482852937,0.6127570105697403,1.0,0.9995674788951874,0.9688830466020533,0.7742121595455691,2,0.14904203392234822,1.3608872890472412
8600,431,49,60,0.9837399056434633,0.5915362843572018,1.0,0.9989852905273438,0.9645469963340496,0.8929028047970561,2,0.1753302939775855,0.9540883898735046
8800,431,49,61,0.690899280619622,0.6061869121698578,0.0,0.9994771182537079,0.9839013470683917,0.5594590456861996,3,0.09773050498786745,0.39144355058670044
9000,446,49,62,0.9866956797361374,0.5810076010649128,0.9545454545454546,0.9998079240322113,0.9643793464073558,0.7999584364786858,3,0.10556357534912225,1.5142238140106201
9200,463,49,64,0.9985222297191619,0.598854605613999,0.9655172413793104,0.9999039471149445,0.9654438001669875,0.889317159638195,3,0.10197045431822807,1.2826350927352905
9400,464,49,65,0.8317427745819093,0.5884656373339967,0.9473684210526315,0.9994109272956848,0.9673149032127228,0.5674780586881357,3,0.08658621528135765,1.5578023195266724
9600,477,49,66,0.9866937215089799,0.5773914882219849,0.88,0.9997162222862244,0.9647442214488953,0.796595323846361,3,0.18439579604269188,0.8953972458839417
